Time,V(R5:2)
2.153014412461e-04,3.955838586448e-05
2.159946671067e-04,3.955838585411e-05
2.167606583176e-04,3.955838584100e-05
2.173446884690e-04,3.955838584033e-05
2.179845085678e-04,3.955838587462e-05
2.184386005936e-04,3.955838586320e-05
2.189123383103e-04,3.955838585655e-05
2.193562260208e-04,3.955838585856e-05
2.199475040970e-04,3.955838584531e-05
2.205406895218e-04,3.955838584196e-05
2.212508907853e-04,3.955838584554e-05
2.218132725296e-04,3.955838586369e-05
2.223971119461e-04,3.955838586127e-05
2.231106510697e-04,3.955838585180e-05
2.236663570938e-04,3.955838586591e-05
2.240903606949e-04,3.955838586010e-05
2.244760265885e-04,3.955838586672e-05
2.250422230301e-04,3.955838586010e-05
2.256773701249e-04,3.955838585386e-05
2.262374630509e-04,3.955838585694e-05
2.268558254776e-04,3.955838586342e-05
2.274380436478e-04,3.955838584728e-05
2.280857792435e-04,3.955838584221e-05
2.287256947098e-04,3.955838585098e-05
2.293803921280e-04,3.955838585139e-05
2.300183048783e-04,3.955838585335e-05
2.306917896805e-04,3.955838585533e-05
2.312430134354e-04,3.955838585813e-05
2.318904629288e-04,3.955838584450e-05
2.324950924454e-04,3.955838585958e-05
2.331660023270e-04,3.955838585010e-05
2.338292828141e-04,3.955838586532e-05
2.344748249588e-04,3.955838584619e-05
2.350885143814e-04,3.955838585723e-05
2.357944241104e-04,3.955838585139e-05
2.363258114396e-04,3.955838584944e-05
2.368977299271e-04,3.955838585769e-05
2.375108471451e-04,3.955838584816e-05
2.382072201310e-04,3.955838585926e-05
2.387651196061e-04,3.955838585034e-05
2.393099537430e-04,3.955838585817e-05
2.399088612137e-04,3.955838584958e-05
2.406029453812e-04,3.955838586144e-05
2.411213627396e-04,3.955838585769e-05
2.416764965592e-04,3.955838585596e-05
2.422775974808e-04,3.955838585013e-05
2.429727306900e-04,3.955838586071e-05
2.435141315995e-04,3.955838585690e-05
2.440829983292e-04,3.955838585257e-05
2.447679272232e-04,3.955838585057e-05
2.456475010453e-04,3.955838585086e-05
2.462235203324e-04,3.955838585708e-05
2.468244305191e-04,3.955838585178e-05
2.475871792374e-04,3.955838585081e-05
2.484164944229e-04,3.955838585800e-05
2.490686169205e-04,3.955838585886e-05
2.497208347855e-04,3.955838586901e-05
2.500000010800e-04,3.955838586351e-05
2.500000011720e-04,3.955838606995e-05
2.500000013560e-04,3.955838584866e-05
2.500000017240e-04,3.955838584867e-05
2.500000020800e-04,3.955838584867e-05
2.500000021600e-04,3.955838597854e-05
2.500000023200e-04,3.955838597854e-05
2.500000026400e-04,3.955838584866e-05
2.500000032800e-04,3.955838584867e-05
2.500000045600e-04,3.955838588115e-05
2.500000071201e-04,3.955838586013e-05
2.500000122402e-04,3.955838586258e-05
2.500000224804e-04,3.955838586103e-05
2.500000429607e-04,3.955838586438e-05
2.500000839215e-04,3.955838586491e-05
2.500001658429e-04,3.955838586347e-05
